,시청,위치,경도,위도
0,강릉시청,강원특별자치도 강릉시 강릉대로 33 (홍제동),128.8754436,37.75322267
1,고성군청,경상남도 고성군 고성읍 성내로 130,128.3223133,34.97273871
2,동해시청,강원특별자치도 동해시 천곡1길 20-3 (천곡동),129.1140273,37.52692695
3,삼척시청,강원특별자치도 삼척시 대학로 81 (교동),129.1616368,37.44869825
4,속초시청,강원특별자치도 속초시 중앙로 183 (중앙동),128.591939,38.20770272
5,양구군청,강원특별자치도 양구군 양구읍 관공서로 38,127.9899455,38.10998619
6,양양군청,강원특별자치도 양양군 양양읍 군청길 1,128.6189159,38.07548749
7,영월군청,강원특별자치도 영월군 영월읍 하송로 64,128.4619325,37.18435534
8,원주시청,강원특별자치도 원주시 시청로 1 (무실동),127.9197054,37.3418962
9,인제군청,강원특별자치도 인제군 인제읍 인제로187번길 8,128.170349,38.06968977
10,정선군청,강원특별자치도 정선군 정선읍 봉양3길 21,128.6608377,37.38061741
11,철원군청,강원특별자치도 철원군 갈말읍 삼부연로 51,127.3134016,38.14676301
12,춘천시청,강원특별자치도 춘천시 시청길 11 (옥천동),127.7298589,37.88136322
13,태백시청,강원특별자치도 태백시 태붐로 21 (황지동),128.9865505,37.16423863
14,평창군청,강원특별자치도 평창군 평창읍 군청길 77,128.3901275,37.37127229
15,화천군청,강원특별자치도 화천군 화천읍 화천새싹길 45,127.7079275,38.10562069
16,횡성군청,강원특별자치도 횡성군 횡성읍 태기로 15,127.9851514,37.49206754
17,가평군청,경기도 가평군 가평읍 석봉로 181,127.5097053,37.83131955
18,고양시청,경기도 고양시 덕양구 고양시청로 10 (주교동),126.8319601,37.65841333
19,과천시청,경기도 과천시 관문로 69 (중앙동),126.9867975,37.43022157
20,광명시청,경기도 광명시 시청로 20 (철산동),126.8648274,37.47910459
21,광주시청,광주광역시 서구 시청로 106 (치평동),126.8523612,35.15856063
22,구리시청,경기도 구리시 아차산로 439 (교문동),127.1296401,37.59434976
23,군포시청,경기도 군포시 청백리길 6 (금정동),126.9353164,37.36102352
24,김포시청,경기도 김포시 김포대로 지하852 (사우동),126.7198082,37.6203135
25,남양주시청,경기도 남양주시 경강로163번길 44 (이패동),127.1906955,37.61121515
26,동두천시청,경기도 동두천시 방죽로 23 (생연동),127.0603007,37.90360638
27,부천시청,경기도 부천시 원미구 길주로 210 (중동),126.7653497,37.50357096
28,성남시청,경기도 성남시 중원구 성남대로 997 (여수동),127.12628,37.42017754
29,수원시청,"경기도 수원시 권선구 권선로694번길 25 (권선동, 수원시청역 SK VIEW)",127.0270041,37.25793158
30,시흥시청,경기도 시흥시 시청로 20 (장현동),126.8040652,37.38042223
31,안산시청,경기도 안산시 단원구 중앙대로 839 (고잔동),126.8296529,37.31765074
32,안성시청,경기도 안성시 시청길 25 (봉산동),127.27921,37.00830786
33,안양시청,경기도 안양시 동안구 시민대로 235 (관양동),126.9568584,37.39429809
34,양주시청,경기도 양주시 부흥로 1533 (남방동),127.044913,37.78535332
35,양평군청,경기도 양평군 양평읍 군청앞길 2,127.4876804,37.49173975
36,여주시청,경기도 여주시 세종로 1 (홍문동),127.6366244,37.29821379
37,연천군청,경기도 연천군 연천읍 연천로 220,127.0752586,38.09651322
38,오산시청,경기도 오산시 성호대로 141 (오산동),127.0776635,37.14903662
39,용인시청,경기도 용인시 처인구 중부대로 1199 (삼가동),127.1778963,37.24101936
40,의왕시청,경기도 의왕시 시청로 11 (고천동),126.9682394,37.3454377
41,의정부시청,경기도 의정부시 시민로 1 (의정부동),127.0338354,37.7380645
42,이천시청,경기도 이천시 시청중앙로 10 (증일동),127.4366362,37.27057705
43,파주시청,경기도 파주시 시청로 50 (아동동),126.7798758,37.76004282
44,평택시청,경기도 평택시 경기대로 245 (비전동),127.1125253,36.99229876
45,포천시청,경기도 포천시 중앙로 87 (신읍동),127.2003315,37.89470489
46,하남시청,경기도 하남시 대청로 10 (신장동),127.2147761,37.53934563
47,화성시청,경기도 화성시 남양읍 화성시청역로 1 (화성시청역 센트럴파크스타힐스 1단지),126.816174,37.19513272
48,거제시청,경상남도 거제시 계룡로 125 (고현동),128.6207892,34.88055431
49,거창군청,경상남도 거창군 거창읍 중앙로 103,127.9095459,35.68668232
50,고성군청,경상남도 고성군 고성읍 성내로 130,128.3223133,34.97273871
51,김해시청,경상남도 김해시 김해대로 2401 (부원동),128.8893946,35.22861118
52,남해군청,경상남도 남해군 남해읍 망운로9번길 12,127.8928927,34.83787095
53,밀양시청,경상남도 밀양시 시청로 26 (교동),128.7452782,35.50450654
54,사천시청,경상남도 사천시 용현면 시청로 77,128.0647466,35.00358813
55,산청군청,경상남도 산청군 산청읍 산엔청로 1,127.8731127,35.41516862
56,양산시청,경상남도 양산시 중앙로 39 (남부동),129.0381174,35.33512506
57,의령군청,경상남도 의령군 의령읍 충익로 63,128.2613949,35.32237273
58,진주시청,경상남도 진주시 동진로 155 (상대동),128.1088228,35.18024326
59,창녕군청,경상남도 창녕군 창녕읍 군청길 1,128.4930236,35.54516326
60,창원시청,경상남도 창원시 성산구 중앙대로 151 (용호동),128.6812584,35.22836787
61,통영시청,경상남도 통영시 통영해안로 515 (무전동),128.4331779,34.85434228
62,하동군청,경상남도 하동군 하동읍 군청로 23,127.751323,35.06733885
63,함안군청,경상남도 함안군 가야읍 말산로 1,128.4065383,35.2724904
64,함양군청,경상남도 함양군 함양읍 고운로 35,127.7241554,35.52122413
65,합천군청,경상남도 합천군 합천읍 동서로 119,128.1658262,35.56665152
66,경산시청,경상북도 경산시 남매로 159 (중방동),128.7418197,35.82530345
67,경주시청,경상북도 경주시 양정로 260 (동천동),129.2247634,35.85621402
68,고령군청,경상북도 고령군 대가야읍 왕릉로 55,128.2618577,35.72447198
69,구미시청,경상북도 구미시 송정대로 55 (송정동),128.3438213,36.1200142
70,김천시청,경상북도 김천시 시청1길 1 (신음동),128.1133077,36.13971512
71,문경시청,경상북도 문경시 시청2길 16-8 (모전동),128.1890578,36.58770628
72,봉화군청,경상북도 봉화군 봉화읍 봉화로 1111,128.7324976,36.8931442
73,상주시청,경상북도 상주시 상산로 223 (남성동),128.1587386,36.41138277
74,성주군청,경상북도 성주군 성주읍 성주로 3200,128.2830094,35.91922733
75,안동시청,경상북도 안동시 퇴계로 115 (명륜동),128.7302605,36.5681878
76,영덕군청,경상북도 영덕군 영덕읍 군청길 116,129.3654012,36.41503388
77,영양군청,경상북도 영양군 영양읍 군청길 37,129.1126629,36.66736577
78,영주시청,경상북도 영주시 시청로 1 (휴천동),128.6229014,36.80621871
79,영천시청,경상북도 영천시 시청로 16 (문외동),128.9384763,35.97321225
80,예천군청,경상북도 예천군 예천읍 군청길 21,128.4514691,36.65671533
81,울릉군청,경상북도 울릉군 울릉읍 도동2길 66,130.9056422,37.48433317
82,울진군청,경상북도 울진군 울진읍 울진중앙로 115-21,129.4000951,36.99223112
83,의성군청,경상북도 의성군 의성읍 군청길 31,128.6972494,36.35290629
84,청도군청,경상북도 청도군 화양읍 청화로 70,128.7339993,35.64725258
85,청송군청,경상북도 청송군 청송읍 군청로 51,129.0570719,36.43625174
86,칠곡군청,경상북도 칠곡군 왜관읍 군청1길 80,128.401639,35.99579299
87,포항시청,경상북도 포항시 남구 시청로 1 (대잠동),129.3439467,36.01878003
88,광주시청,광주광역시 서구 시청로 106 (치평동),126.8523612,35.15856063
89,대구시청,대구광역시 중구 동덕로 182 (동인동1가),128.6046058,35.87082743
90,대전시청,대전광역시 서구 둔산로 100 (둔산동),127.384633,36.350385
91,부산시청,"부산광역시 연제구 시청로 6 (연산동, 부산 더샵 시티애비뉴)",129.0764101,35.18076639
92,서울시청,서울특별시 중구 덕수궁길 15 (서소문동),126.9756136,37.56455419
93,세종시청,세종특별자치시 시청대로 126 (보람동),127.2859979,36.47879694
94,울산시청,울산광역시 남구 중앙로 201 (신정동),129.3112566,35.53794728
95,인천시청,인천광역시 남동구 구월로 지하99 (간석동),126.7013016,37.45688086
96,강진군청,전라남도 강진군 강진읍 탐진로 111,126.7673259,34.64172515
97,고흥군청,전라남도 고흥군 고흥읍 고흥군청로 1,127.2754763,34.60459652
98,곡성군청,전라남도 곡성군 곡성읍 군청로 50,127.2926554,35.28215631
99,광양시청,전라남도 광양시 시청로 33 (중동),127.6959677,34.94063191
100,구례군청,전라남도 구례군 구례읍 봉성로 1,127.4639001,35.20190636
101,나주시청,전라남도 나주시 시청길 22 (송월동),126.7108389,35.01578414
102,담양군청,전라남도 담양군 담양읍 추성로 1371,126.9885491,35.32063711
103,목포시청,전라남도 목포시 양을로 203 (용당동),126.3912825,34.81153485
104,무안군청,전라남도 무안군 무안읍 무안로 530,126.481899,34.99104614
105,보성군청,전라남도 보성군 보성읍 송재로 165,127.0800213,34.77148354
106,순천시청,전라남도 순천시 장명로 30 (장천동),127.4873744,34.95018842
107,신안군청,전라남도 신안군 압해읍 천사로 1004,126.3514253,34.83360218
108,여수시청,전라남도 여수시 시청로 1 (학동),127.6615647,34.7601505
109,영암군청,전라남도 영암군 영암읍 군청로 1,126.6968002,34.80019063
110,완도군청,전라남도 완도군 완도읍 농공단지7길 44,126.7377193,34.33475673
111,장성군청,전라남도 장성군 장성읍 영천로 200,126.7848767,35.30191231
112,장흥군청,전라남도 장흥군 장흥읍 장흥로 21,126.9070145,34.68170119
113,진도군청,전라남도 진도군 진도읍 철마길 25,126.2635764,34.48683211
114,함평군청,전라남도 함평군 함평읍 중앙길 200,126.5162188,35.06584835
115,해남군청,전라남도 해남군 해남읍 군청길 4,126.5999599,34.57319659
116,화순군청,전라남도 화순군 화순읍 동헌길 23,126.9861688,35.06459009
117,고창군청,전북특별자치도 고창군 고창읍 중거리당산로 74-12,126.6976811,35.42657741
118,군산시청,전북특별자치도 군산시 시청로 17 (조촌동),126.7368676,35.96760298
119,김제시청,전북특별자치도 김제시 중앙로 40 (서암동),126.8799723,35.80372421
120,남원시청,전북특별자치도 남원시 시청로 60 (도통동),127.3904652,35.41642454
121,무주군청,전북특별자치도 무주군 무주읍 주계로 97,127.6603208,36.00684534
122,부안군청,전북특별자치도 부안군 부안읍 군청길 4,126.7333621,35.7306094
123,순창군청,전북특별자치도 순창군 순창읍 경천로 33,127.1373991,35.37446719
124,완주군청,전북특별자치도 완주군 용진읍 지암로 61,127.1607812,35.90535507
125,익산시청,전북특별자치도 익산시 인북로32길 1 (남중동),126.9578595,35.94758787
126,임실군청,전북특별자치도 임실군 임실읍 수정로 30,127.2889986,35.61726375
127,장수군청,전북특별자치도 장수군 장수읍 군청길 3,127.5183779,35.64652424
128,전주시청,전북특별자치도 전주시 완산구 노송광장로 10 (서노송동),127.1480437,35.82409454
129,정읍시청,전북특별자치도 정읍시 조곡천3길 10 (장명동),126.8622519,35.56539713
130,진안군청,전북특별자치도 진안군 진안읍 중앙로 67,127.4246965,35.79126189
131,계룡시청,충청남도 계룡시 장안로 46 (금암동),127.2487784,36.27445009
132,공주시청,충청남도 공주시 봉황로 1 (봉황동),127.1190693,36.44616174
133,금산군청,충청남도 금산군 금산읍 군청3길 22,127.4857156,36.10950478
134,논산시청,충청남도 논산시 시민로210번길 9 (내동),127.098258,36.1875525
135,당진시청,충청남도 당진시 시청1로 1 (수청동),126.645971,36.88974143
136,보령시청,충청남도 보령시 시청로 100 (명천동),126.6097509,36.33350263
137,부여군청,충청남도 부여군 부여읍 사비로 33,126.9097725,36.27573497
138,서산시청,충청남도 서산시 관아문길 1 (읍내동),126.4495748,36.78400827
139,서천군청,충청남도 서천군 서천읍 군청로 17,126.6904545,36.07647528
140,아산시청,충청남도 아산시 시민로 456 (온천동),127.0019107,36.79025506
141,예산군청,충청남도 예산군 예산읍 군청로 22,126.8448499,36.68088045
142,천안시청,충청남도 천안시 서북구 시청로 172 (백석동),127.116935,36.81669983
143,청양군청,충청남도 청양군 청양읍 문화예술로 222,126.8026122,36.45960225
144,태안군청,충청남도 태안군 태안읍 군청로 1,126.2983627,36.74594058
145,괴산군청,충청북도 괴산군 괴산읍 임꺽정로 90,127.787533,36.81574898
146,단양군청,충청북도 단양군 단양읍 군청로 2,128.3681067,36.98039341
147,보은군청,충청북도 보은군 보은읍 군청길 38,127.7297482,36.48970363
148,영동군청,충청북도 영동군 영동읍 동정로 1,127.7831726,36.17490003
149,옥천군청,충청북도 옥천군 옥천읍 동부로 39-2,127.576828,36.30692083
150,음성군청,충청북도 음성군 음성읍 중앙로 173,127.6905138,36.94028132
151,제천시청,충청북도 제천시 내토로 295 (천남동),128.1914987,37.13301329
152,증평군청,충청북도 증평군 증평읍 광장로 88,127.5815198,36.78537913
153,진천군청,충청북도 진천군 진천읍 상산로 13,127.4357642,36.85489255
154,청주시청,충청북도 청주시 상당구 상당로 155 (북문로3가),127.4896728,36.64161315
155,충주시청,충청북도 충주시 시청로 4 (금릉동),127.9261382,36.98776961
156,홍천군청,강원도 홍천군 홍천읍 석화로 93,127.8888143,37.69741437
157,영광군청,전라남도 영광군 영광읍 중앙로 203,126.5123562,35.27688559
158,홍성군청,충청남도 홍성군 홍성읍 아문길 27,126.6613892,36.60172104
